,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
0,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,Biryani,5Th Block,59
1,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,Chinese,5Th Block,59
2,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,North Indian,5Th Block,59
3,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,South Indian,5Th Block,59
4,221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,Mughlai,5Th Block,56
6,246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,50
7,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,North Indian,80 Feet Road,57
8,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Punjabi,80 Feet Road,57
9,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Tandoor,80 Feet Road,57
10,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,Chinese,80 Feet Road,57
12,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Gujarati,80 Feet Road,63
13,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,North Indian,80 Feet Road,63
14,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Snacks,80 Feet Road,63
15,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Desserts,80 Feet Road,63
16,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Beverages,80 Feet Road,63
17,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Thalis,80 Feet Road,63
18,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,Chaat,80 Feet Road,63
19,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,Mughlai,100 Feet Road,56
20,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,North Indian,100 Feet Road,56
21,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Mexican,Double Road,53
22,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Beverages,Double Road,53
23,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,Salads,Double Road,53
24,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Desserts,4Th Block,57
26,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Bakery,4Th Block,57
27,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Pizzas,4Th Block,57
28,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,Snacks,4Th Block,57
29,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,American,Double Road,57
30,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Italian,Double Road,57
31,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Beverages,Double Road,57
32,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Continental,Double Road,57
33,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Chinese,Double Road,57
34,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Pastas,Double Road,57
35,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Pizzas,Double Road,57
36,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,Fast Food,Double Road,57
37,308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,57
38,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,Chinese,5Th Block,56
39,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,Thai,5Th Block,56
41,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,North Indian,Cooke Town,55
42,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,Chinese,Cooke Town,55
43,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,Mughlai,Mm Road,54
44,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,North Indian,Mm Road,54
45,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,Biryani,Mm Road,54
